,date,team,score,rating,totalshot,woodwork,ontarget,offtarget,blocked,pos%,touch,pass%,totalpass,accurate,keypass,dribwon,dribatt,dribpast,dribsuc%,aerwon,aersuc%,aeroff,aerdef,tackle,tacatt,wasdrib,tacsuc,clear,inter,corner,coracc%,dispos,error,foul,offside
home,"Sun, 11-Aug-19",Man Utd,4,7.49,11,0,5,2,4,46.2,650,81,449,363,9,14,20,13,70,13,59,7,15,16,29,13,55,19,12,3,33,15,0,15,2
away,"Sun, 11-Aug-19",Chelsea,0,6.19,18,2,7,7,4,53.8,730,85,523,442,15,13,24,14,54,9,41,15,7,21,35,14,60,11,15,5,33,5,1,13,0
home,"Sun, 18-Aug-19",Chelsea,1,6.79,14,0,5,7,2,50.2,692,79,454,359,11,10,19,13,53,23,64,19,17,25,38,13,66,23,10,4,25,20,0,9,3
away,"Sun, 18-Aug-19",Leicester,1,6.72,12,0,3,7,2,49.8,690,77,455,352,7,13,23,10,57,13,36,17,19,29,39,10,74,20,15,5,25,15,1,14,3
home,"Sat, 24-Aug-19",Norwich,2,6.56,6,1,5,1,0,46.6,684,81,481,391,5,5,20,21,25,12,41,14,15,16,37,21,43,29,11,1,100,11,0,9,0
away,"Sat, 24-Aug-19",Chelsea,3,7.21,23,0,8,5,10,53.4,767,84,543,457,20,21,24,5,88,17,59,15,14,26,31,5,84,9,11,8,100,13,0,9,0
home,"Sat, 31-Aug-19",Chelsea,2,6.74,13,0,5,5,3,62.3,898,87,719,627,9,16,21,7,76,20,47,23,20,16,23,7,70,15,14,3,33,10,1,6,2
away,"Sat, 31-Aug-19",Sheff Utd,2,6.55,8,0,2,5,1,37.7,595,79,429,338,7,7,15,16,47,23,53,20,23,15,31,16,48,24,17,4,33,8,2,11,0
home,"Sat, 14-Sep-19",Wolves,2,6.19,11,0,4,4,3,45.3,649,78,449,350,6,13,19,15,68,17,44,29,10,17,32,15,53,12,14,7,57,14,0,8,1
away,"Sat, 14-Sep-19",Chelsea,5,7.42,15,0,6,7,2,54.7,781,85,555,472,11,15,20,13,75,22,56,10,29,20,33,13,61,28,17,5,57,12,0,11,1
